#103568 - 裏影機王・クロガネマル
monster size: 5
new AI: True
start/max counter: 1
counter increment: 1
monster_id: 103568
approved: False

level: 1
 type: PASSIVE
 | (8863:118) マシンボス耐性
 | Reduce damage from Machine by 50%
 type: PREEMPT
 | (15331:83) オレが・・・最強だ！！！ + エクスウォール + アブソーブゼクス + ヒィイイイェアアア！！！
 | Voids status ailments for 999 turns + Void damage >= 25000000 for 999 turns + Absorb combo <= 7 damage for 99 turns + Seal 1st, 6th column for 1 turns, Deal 200% damage
 group:
 | group:
   | group:
   | condition: turn 1
     | (8870:83) ダブルサクリファイス + ツインプロテクト
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage + Unable to match Jammer, Poison orbs for 1 turns
   | group:
   | condition: turn 2
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: turn 3
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 50% chance
     | (8877:77) ダブルサクリファイス
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage
     | (8878:77) ツインストライク
     | Change 1st column to Dark orbs, 6th column to Fire orbs, Deal 140% damage
   | group:
   | condition: turn 4
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: turn 5
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 50% chance
     | (8877:77) ダブルサクリファイス
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage
     | (8878:77) ツインストライク
     | Change 1st column to Dark orbs, 6th column to Fire orbs, Deal 140% damage
   | group:
   | condition: turn 6
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: turn 7
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 50% chance
     | (8877:77) ダブルサクリファイス
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage
     | (8878:77) ツインストライク
     | Change 1st column to Dark orbs, 6th column to Fire orbs, Deal 140% damage
   | group:
   | condition: turn 8
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: turn 9
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 50% chance
     | (8877:77) ダブルサクリファイス
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage
     | (8878:77) ツインストライク
     | Change 1st column to Dark orbs, 6th column to Fire orbs, Deal 140% damage
   | group:
   | condition: turn 10
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: turn 11
     | (8892:85) エクストリームバースト
     | Change all orbs to Jammer, Deal 370% damage
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | condition: 50% chance
     | (8873:83) プロテクトウォール + バーストアウト + ヒィェア！！！
     | Seal 6th column for 1 turns + Spawn Bomb orbs in the specified positions + Deal 100% damage
     | (8876:83) プロテクトウォール + クロスセイバー + ヒィェア！！！
     | Seal 1st column for 1 turns + Blind orbs in specific positions for 1 turns + Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 50% chance
     | (8877:77) ダブルサクリファイス
     | Change 1st column to Poison orbs, 6th column to Jammer orbs, Deal 120% damage
     | (8878:77) ツインストライク
     | Change 1st column to Dark orbs, 6th column to Fire orbs, Deal 140% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: turn 2
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
   | group:
   | condition: turn 3
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: turn 4
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
   | group:
   | condition: turn 5
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: turn 6
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
   | group:
   | condition: turn 7
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: turn 8
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
   | group:
   | condition: turn 9
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: turn 10
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | condition: 50% chance
     | (8881:83) ダブルセイバー + エクスフィールド + ヒィェア！！！
     | Blind orbs in specific positions for 1 turns + Lock all Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs + Deal 100% damage
     | (8885:83) プロテクトウォール + クロスセイバー + バーストアウト
     | Seal 1st row for 1 turns + Blind orbs in specific positions for 1 turns + Spawn Bomb orbs in the specified positions
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (8889:48) サクリファイスセイバー
     | Change Poison to Dark, Deal 170% damage
     | (8890:48) ドリルブレイク
     | Change Jammer to Fire, Deal 150% damage
     | condition: 33% chance
     | (8886:79) ダブルサクリファイス
     | Change 1st row to Poison orbs, 5th row to Jammer orbs, Deal 120% damage
     | condition: 50% chance
     | (8887:79) ツインストライク
     | Change 1st row to Dark orbs, 5th row to Fire orbs, Deal 120% damage
     | (8888:15) クロスラッシュ
     | Deal 160% damage (4 hits, 40% each)
 | group:
 | condition: hp <= 19
   | group:
   | condition: turn 1
     | (8896:83) アァァァァアアア！許さん！！ + 弱くしちゃうぜぇぇぇ！！
     | Enemy recover 30% hp + Bind awoken skills for 5 turns
   | group:
   | condition: turns 2-10
     | (8893:85) ツインエクスプロージョン
     | Change all orbs to Fire, Dark, Deal 400% damage
   | group:
     | (8893:85) ツインエクスプロージョン
     | Change all orbs to Fire, Dark, Deal 400% damage
