#1091 - Blast Aurora Dragon
monster size: 5
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 1091
approved: False

level: 3
 type: PREEMPT
 | (1214:20) Ark Guardian Dragon
 | Voids status ailments for 3 turns
 group:
 | group:
   | group:
   | condition: repeats every 2 turns
     | group:
       | (1215:63) Aurora Blast
       | Bind 1 random cards for 1 turns, Deal 80% damage
 | group:
 | condition: hp <= 74
   | group:
   | condition: turn 1
     | group:
       | (1216:68) God Tears
       | Water skyfall +25% for 5 turns
   | group:
   | condition: repeats every 4 turns
     | group:
       | (3178:-1) Countdown Message
       | Display '0' and skip turn
   | group:
   | condition: repeats every 4 turns
     | group:
       | (2178:-1) Countdown Message
       | Display '0' and skip turn
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1178:-1) Countdown Message
       | Display '0' and skip turn
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1217:15) Blue Out Nemesis
       | Deal 500% damage (5 hits, 100% each)
