#1094 - Cyclone Devil Dragon
monster size: 5
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 1094
approved: False

level: 1
 type: PREEMPT
 | (1310:2) Demonic Stare
 | Bind Light cards for 4 turns
 | (1325:68) Demonic Howl
 | Jammer skyfall +10% for 5 turns
 group:
 | group:
   | group:
   | condition: repeats every 2 turns
     | group:
       | (1311:48) Hell Ball
       | Change Water to Dark, Deal 90% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: repeats every 2 turns
     | group:
       | (1311:48) Hell Ball
       | Change Water to Dark, Deal 90% damage
       | (953:62) Dark Cyclone Blast
       | Blind all orbs on the board, Deal 125% damage
   | group:
   | condition: repeats every 2 turns
     | group:
       | (953:62) Dark Cyclone Blast
       | Blind all orbs on the board, Deal 125% damage
