#1192 - Blue Wind Ninja Princess, Hatsume
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 1192
approved: False

level: 1
 type: PREEMPT
 | (15313:110) 踊扇の舞
 | Specific orbs change every 2.0s for 2 turns, Deal 100% damage
 | (15314:110) 踊扇の舞
 | Specific orbs change every 1.0s for 2 turns, Deal 100% damage
 group:
 | group:
 | condition: turns 1-8
   | condition: 50% chance
   | (15313:110) 踊扇の舞
   | Specific orbs change every 2.0s for 2 turns, Deal 100% damage
   | condition: 50% chance
   | (15314:110) 踊扇の舞
   | Specific orbs change every 1.0s for 2 turns, Deal 100% damage
 | group:
 | condition: turn 9
   | (15315:83) 疲れちゃった？ + まだ私踊り足りないの
   | Void damage >= 10000000 for 999 turns + Rcv 25% for 10 turns
 | group:
   | condition: 50% chance
   | (15313:110) 踊扇の舞
   | Specific orbs change every 2.0s for 2 turns, Deal 100% damage
   | condition: 50% chance
   | (15314:110) 踊扇の舞
   | Specific orbs change every 1.0s for 2 turns, Deal 100% damage
