#1461 - Awoken Noah
monster size: 4
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 1461
approved: False

level: 1
 type: PREEMPT
 | (1224:55) Are you worth saving?
 | Player recover 100% hp
 group:
 | group:
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1218:50) Ark Impact
       | Player -99% HP
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1219:63) Sacred Sacrifice
       | Bind 1 random subs for 2 turns, Deal 50% damage
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1220:48) Rainbow Contract
       | Change Random to Random, Deal 75% damage
   | group:
   | condition: repeats every 4 turns
     | group:
       | (1221:48) Twinkle Hope
       | Change Random to Heal, Deal 100% damage
 | group:
 | condition: hp <= 29
   | group:
   | condition: repeats every 2 turns
     | group:
       | (1222:13) Ark Judgement
       | Change Random 2 to Jammer
   | group:
   | condition: repeats every 2 turns
     | group:
       | (1223:15) Punishment Thunder
       | Deal 1000% damage
