#2898 - Venomous Midgard Snake, Jörmungandr-Ullr
monster size: 5
new AI: True
start/max counter: 63
counter increment: 0
monster_id: 2898
approved: False

level: 1
 type: PREEMPT
 | (7096:83) This is just the beginning + How tedious... + Just let me enjoy this
 | Absorb combo <= 4 damage for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal + Blind all orbs on the board
 | (7115:50) Is that your best? Then begone!
 | Player -1000% HP
 group:
 | (7115:50) Is that your best? Then begone!
 | Player -1000% HP
 type: UNKNOWN_USE
 | (7092:83) I shall test your abilities, adventurer + I'm hoping for a good combo! + Now then - show me your glow!
 | Absorb combo <= 3 damage for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal + Spawn random 14 Jammer orbs
 | (7100:83) Feeling the heat? + Suppose we take things up a notch? + How's this?
 | Absorb combo <= 5 damage for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal, Poison + Column of cloud appear for 1 turns at 1st row
 | (7104:83) Not too shabby + What's wrong? You're all sweaty... + Surely you're not done yet?
 | Absorb combo <= 6 damage for 1 turns + Change 3rd row to Jammer orbs + Spawn random 3 Fire, Water, Wood, Light, Dark, Heal orbs
 | (7107:83) Nobody's lasted this long in a while... + But now it's do or die! + Let's see you get past this!
 | Absorb combo <= 7 damage for 1 turns + Spawn Bomb orbs in the specified positions + Spawn random 3 Fire, Water, Wood, Light, Dark, Heal, Jammer orbs
 | (7116:50) Pathetic! Come back when you're stronger
 | Player -1000% HP
 | (7111:83) Hmph, impressive + The end is nigh... + Don't let up now!
 | Absorb combo <= 8 damage for 1 turns + Spawn random 6 Fire, Water, Wood, Light, Dark orbs + Fix orb movement starting point to random position on the board
 | (7114:83) You have proven yourself, adventurer + This was great for killing time
 | Do nothing + Reduce self HP to 0
