#3013 - Stone Scales Dragon Emperor, Deightros
monster size: 5
new AI: True
start/max counter: 7
counter increment: 0
monster_id: 3013
approved: False

level: 1
 type: PASSIVE
 | (6348:73) Resolve
 | Survive attacks with 1 HP when HP > 75%
 type: PREEMPT
 | (6332:74) Shell Scales
 | Reduce damage from all sources by 75% for 3 turns
 group:
 | group:
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6344:83) Poison Swirl + Cyclone
       | Mortal Poison skyfall +20% for 1 turns + Deal 140% damage (2 hits, 70% each)
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6345:83) Flash Induction + Sharptooth
       | Fix orb movement starting point to random position on the board + Lock 8 random Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs, Deal 140% damage
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6333:53) Deep Sea
       | Absorb Wood, Dark damage for 3 turns
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6344:83) Poison Swirl + Cyclone
       | Mortal Poison skyfall +20% for 1 turns + Deal 140% damage (2 hits, 70% each)
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6345:83) Flash Induction + Sharptooth
       | Fix orb movement starting point to random position on the board + Lock 8 random Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs, Deal 140% damage
   | group:
   | condition: repeats every 6 turns
     | group:
       | (6336:74) Shell Scales
       | Reduce damage from all sources by 75% for 3 turns
 | group:
 | condition: hp <= 69
   | group:
   | condition: turn 1
     | group:
       | condition: hp <= 70
       | (6346:83) Extreme Cold + Fin Drive
       | Movetime -1s for 3 turns + Player -99% HP
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 2
     | group:
       | condition: hp <= 50
       | (6347:83) Bubble Wall + Sun Jail
       | Absorb combo <= 5 damage for 3 turns + Bind 1 random subs for 5 turns, Deal 160% damage
 | group:
 | condition: hp <= 14
   | group:
   | condition: repeats every 1 turns
     | group:
       | condition: hp <= 15
       | (6339:85) Myriad Calamity
       | Change all orbs to Poison, Deal 600% damage
 | group:
   | group:
   | condition: repeats every 1 turns
     | group:
       | condition: hp <= 1
       | (6527:83) Resuscitation + Seastar Rock Scales
       | Enemy recover 100% hp + Absorb combo <= 7 damage for 999 turns
