#3221 - Draconic Songstress of Blue Echoes, Mion
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 3221
approved: False

level: 1
 type: PASSIVE
 | (5669:72) Half Water Wood
 | Reduce damage from Water, Wood by 50%
 type: PREEMPT
 | (5644:83) Transparent Melody + Overture for the Impenetrable
 | Voids status ailments for 999 turns + Reduce damage from all sources by 99% for 1 turns
 group:
 | group:
   | group:
   | condition: turn 1
     | group:
       | (5647:83) Play me your puzzle's song ♪ + Hesitant Opening Notes
       | Absorb combo <= 4 damage for 1 turns + Movetime 25% for 1 turns
   | group:
   | condition: turn 2
     | group:
       | (5660:83) You should sound better than this! + Blessed Fantasia
       | Player -99% HP + Void damage >= 500000 for 5 turns
   | group:
   | condition: repeats every 2 turns
     | group:
       | condition: 50% chance, hp <= 100
       | (5653:83) Surely you can hear the Orbs' song ♪ + Rainbow Septet
       | Blind orbs in specific positions for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal, Jammer, Deal 120% damage
       | (5654:83) Feel the music in your heart ♪ + Rainbow Septet
       | Blind orbs in specific positions for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal, Jammer, Deal 120% damage
   | group:
   | condition: repeats every 2 turns
     | group:
       | condition: 50% chance, hp <= 100
       | (5655:94) Obbligato of Ice Blades
       | Lock 10 random Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs, Deal 130% damage
       | (5662:15) Ice Blossom Quartet
       | Deal 160% damage (4 hits, 40% each)
 | group:
 | condition: hp <= 98
   | group:
   | condition: turn 2
     | group:
       | condition: hp <= 99
       | (5661:83) I simply can't lose ♪ + Steel Arabesque
       | Bind 1 random cards for 4 turns, Deal 140% damage + Reduce damage from all sources by 50% for 5 turns
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 3
     | group:
       | condition: when 1 enemies remain, hp <= 50
       | (5672:17) Warrior's March
       | Increase damage to 150% for the next 999 turns
 | group:
 | condition: hp <= 29
   | group:
   | condition: turn 3
     | group:
       | (5656:67) Barcarole for the River of Woe
       | Absorb combo <= 6 damage for 2 turns
   | group:
   | condition: turn 4
     | group:
       | (5673:104) This is your last performance!
       | Row of cloud appear for 1 turns at random location
   | group:
   | condition: repeats every 1 turns
     | group:
       | (5657:15) Requiem of a Thousand Creeds
       | Deal 5000% damage (10 hits, 500% each)

level: 6
 type: PASSIVE
 | (5669:72) Half Water Wood
 | Reduce damage from Water, Wood by 50%
 type: PREEMPT
 | (5644:83) Transparent Melody + Overture for the Impenetrable
 | Voids status ailments for 999 turns + Reduce damage from all sources by 99% for 1 turns
 group:
 | group:
   | group:
   | condition: turn 1
     | group:
       | (5671:83) Play me your puzzle's song ♪ + Hesitant Opening Notes
       | Absorb combo <= 5 damage for 1 turns + Movetime 25% for 1 turns
   | group:
   | condition: turn 2
     | group:
       | (5660:83) You should sound better than this! + Blessed Fantasia
       | Player -99% HP + Void damage >= 500000 for 5 turns
   | group:
   | condition: repeats every 2 turns
     | group:
       | condition: 50% chance, hp <= 100
       | (5653:83) Surely you can hear the Orbs' song ♪ + Rainbow Septet
       | Blind orbs in specific positions for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal, Jammer, Deal 120% damage
       | (5654:83) Feel the music in your heart ♪ + Rainbow Septet
       | Blind orbs in specific positions for 1 turns + Change all orbs to Fire, Water, Wood, Light, Dark, Heal, Jammer, Deal 120% damage
   | group:
   | condition: repeats every 2 turns
     | group:
       | condition: 50% chance, hp <= 100
       | (5655:94) Obbligato of Ice Blades
       | Lock 10 random Fire, Water, Wood, Light, Dark, Heal, Jammer, Poison, Mortal Poison orbs, Deal 130% damage
       | (5662:15) Ice Blossom Quartet
       | Deal 160% damage (4 hits, 40% each)
 | group:
 | condition: hp <= 98
   | group:
   | condition: turn 2
     | group:
       | condition: hp <= 99
       | (5661:83) I simply can't lose ♪ + Steel Arabesque
       | Bind 1 random cards for 4 turns, Deal 140% damage + Reduce damage from all sources by 50% for 5 turns
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 3
     | group:
       | condition: when 1 enemies remain, hp <= 50
       | (5672:17) Warrior's March
       | Increase damage to 150% for the next 999 turns
 | group:
 | condition: hp <= 29
   | group:
   | condition: turn 3
     | group:
       | (5656:67) Barcarole for the River of Woe
       | Absorb combo <= 6 damage for 2 turns
   | group:
   | condition: turn 4
     | group:
       | (5673:104) This is your last performance!
       | Row of cloud appear for 1 turns at random location
   | group:
   | condition: repeats every 1 turns
     | group:
       | (5657:15) Requiem of a Thousand Creeds
       | Deal 5000% damage (10 hits, 500% each)
