#4417 - Monstrous Beast of the Gleaming Peak, Bigfoot
monster size: 5
new AI: True
start/max counter: 1023
counter increment: 0
monster_id: 4417
approved: False

level: 1
 type: PASSIVE
 | (9887:72) Water Halved
 | Reduce damage from Water by 50%
 type: PREEMPT
 | (9853:83) Enhancement of the 5 Senses + Strong Body Protected by Snow
 | Voids status ailments for 30 turns + Reduce damage from all sources by 95% for 3 turns
 group:
 | group:
   | group:
   | condition: turns 1-2
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 3
     | (9874:83) Rage + Risky Attack
     | Increase damage to 120% for the next 2 turns + Reduce damage from all sources by 90% for 3 turns, Deal 110% damage
   | group:
   | condition: turns 4-5
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 6
     | (9875:83) Rage + Risky Attack
     | Increase damage to 140% for the next 2 turns + Reduce damage from all sources by 80% for 3 turns, Deal 110% damage
   | group:
   | condition: turns 7-8
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 9
     | (9876:83) Rage + Risky Attack
     | Increase damage to 160% for the next 2 turns + Reduce damage from all sources by 70% for 3 turns, Deal 110% damage
   | group:
   | condition: turns 10-11
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 12
     | (9877:83) Rage + Risky Attack
     | Increase damage to 180% for the next 2 turns + Reduce damage from all sources by 60% for 3 turns, Deal 110% damage
   | group:
   | condition: turns 13-14
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 15
     | (9878:83) Rage + Risky Attack
     | Increase damage to 200% for the next 2 turns + Reduce damage from all sources by 50% for 3 turns, Deal 110% damage
   | group:
   | condition: turns 16-17
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
   | group:
   | condition: turn 18
     | (9879:83) Rage + Risky Attack
     | Increase damage to 220% for the next 2 turns + Reduce damage from all sources by 40% for 3 turns, Deal 110% damage
   | group:
     | condition: 30% chance, when required attributes on board
     | (9885:92) Smash to Pieces
     | Spawn random 8 Jammer orbs, Deal 90% damage
     | (9884:15) Battering
     | Deal 100% damage (4 hits, 25% each)
 | group:
 | condition: hp <= 19
   | (9850:75) Forceful Throw
   | Leader changes to random sub for 5 turns
