#978 - Black Pirate Dragon, Blackbeard
monster size: 5
new AI: False
start/max counter: 1
counter increment: 0
monster_id: 978
approved: False

level: 5
 type: PREEMPT
 | (845:20) Curse of the Evil Eye
 | Voids status ailments for 5 turns
 group:
 | group:
   | group:
   | condition: turn 1
     | group:
       | (846:5) So it's you...
       | Blind all orbs on the board
   | group:
   | condition: turn 2
     | group:
       | (847:5) Fools who oppose the queen!
       | Blind all orbs on the board
   | group:
   | condition: turn 3
     | group:
       | (848:5) Drift in the sea of death!
       | Blind all orbs on the board
   | group:
   | condition: repeats every 5 turns
     | group:
       | (849:15) Queen Anne's Revenge
       | Deal 1200% damage (3 hits, 400% each)
   | group:
   | condition: repeats every 5 turns
     | group:
       | (845:20) Curse of the Evil Eye
       | Voids status ailments for 5 turns
   | group:
   | condition: repeats every 5 turns
     | group:
       | (849:15) Queen Anne's Revenge
       | Deal 1200% damage (3 hits, 400% each)

level: 8
 type: PREEMPT
 | (845:20) Curse of the Evil Eye
 | Voids status ailments for 5 turns
 group:
 | group:
   | group:
   | condition: turn 1
     | group:
       | (846:5) So it's you...
       | Blind all orbs on the board
   | group:
   | condition: turn 2
     | group:
       | (847:5) Fools who oppose the queen!
       | Blind all orbs on the board
   | group:
   | condition: turn 3
     | group:
       | (848:5) Drift in the sea of death!
       | Blind all orbs on the board
   | group:
   | condition: repeats every 5 turns
     | group:
       | (849:15) Queen Anne's Revenge
       | Deal 1200% damage (3 hits, 400% each)
   | group:
   | condition: repeats every 5 turns
     | group:
       | (845:20) Curse of the Evil Eye
       | Voids status ailments for 5 turns
   | group:
   | condition: repeats every 5 turns
     | group:
       | (849:15) Queen Anne's Revenge
       | Deal 1200% damage (3 hits, 400% each)
